Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA
2019-01-02,37.708595275878906,76.95649719238281,52.54352951049805,135.16366577148438,95.31053924560547,3.3780899047851562,20.674667358398438
2019-01-03,33.952545166015625,75.01399993896484,51.08830261230469,131.23867797851562,91.80426025390625,3.1739959716796875,20.02400016784668
2019-01-04,35.40195846557617,78.76950073242188,53.708797454833984,137.425048828125,96.07400512695312,3.3773465156555176,21.179332733154297
2019-01-07,35.32315444946289,81.47550201416016,53.60169219970703,137.524658203125,96.19654083251953,3.556145429611206,22.33066749572754
2019-01-08,35.99652862548828,82.8290023803711,54.072486877441406,141.98760986328125,96.89402770996094,3.4676132202148438,22.356666564941406
2019-01-09,36.60780715942383,82.97100067138672,53.88715362548828,143.68113708496094,98.2795639038086,3.5358099937438965,22.568666458129883
2019-01-10,36.72481918334961,82.81099700927734,53.746665954589844,143.6512451171875,97.64806365966797,3.601527452468872,22.99799919128418
2019-01-11,36.3642463684082,82.02799987792969,53.03125762939453,143.25277709960938,96.89402770996094,3.690803050994873,23.150667190551758
2019-01-14,35.81743240356445,80.8604965209961,52.385597229003906,144.83673095703125,96.1871109008789,3.7307286262512207,22.293333053588867
2019-01-15,36.550506591796875,83.72799682617188,54.12928009033203,148.38319396972656,98.97705078125,3.716593027114868,22.961999893188477
2019-01-16,36.99702453613281,84.18900299072266,54.27873611450195,146.97854614257812,99.3258056640625,3.6910502910614014,23.06999969482422
2019-01-17,37.21670913696289,84.66100311279297,54.757503509521484,147.73565673828125,100.0232925415039,3.7624711990356445,23.15399932861328
2019-01-18,37.44593811035156,84.80999755859375,55.16502380371094,149.4690399169922,101.52191925048828,3.891672134399414,20.150667190551758
2019-01-22,36.60541534423828,81.6084976196289,53.73670196533203,147.00843811035156,99.60857391357422,3.689314365386963,19.92799949645996
2019-01-23,36.75347137451172,82.0009994506836,54.024654388427734,143.75088500976562,100.57939147949219,3.7022101879119873,19.172666549682617
2019-01-24,36.4621467590332,82.74649810791016,54.00422668457031,145.27503967285156,100.09868621826172,3.9142398834228516,19.43400001525879
2019-01-25,37.67039108276367,83.52850341796875,54.87656784057617,148.44296264648438,101.01295471191406,3.9715254306793213,19.80266761779785
2019-01-28,37.32177734375,81.89450073242188,53.797977447509766,146.90882873535156,99.04304504394531,3.4224796295166016,19.7586669921875
2019-01-29,36.934940338134766,79.69400024414062,53.30974578857422,143.6413116455078,97.02599334716797,3.263519525527954,19.83066749572754
2019-01-30,39.4588737487793,83.52149963378906,54.70120620727539,149.8475799560547,100.26834869384766,3.407104969024658,20.584667205810547
2019-01-31,39.74302673339844,85.9365005493164,56.091163635253906,166.0556640625,98.43036651611328,3.5648250579833984,20.468000411987305
2019-02-01,39.76213455200195,81.3115005493164,55.72897720336914,165.07940673828125,96.87516021728516,3.589127540588379,20.81399917602539
2019-02-04,40.891578674316406,81.66549682617188,56.86486053466797,168.60594177246094,99.66511535644531,3.6994822025299072,20.859333038330078
2019-02-05,41.59120559692383,82.94049835205078,57.38547134399414,170.50868225097656,101.06010437011719,3.7185773849487305,21.42333221435547
2019-02-06,41.605533599853516,82.01300048828125,55.941707611083984,169.84121704101562,99.9384765625,3.7942142486572266,21.148000717163086
2019-02-07,40.81755065917969,80.71849822998047,55.09577560424805,165.7468719482422,99.22210693359375,3.6558361053466797,20.500667572021484
2019-02-08,40.86551284790039,79.41100311279297,54.9199104309082,166.69325256347656,99.59912872314453,3.6744353771209717,20.386667251586914
2019-02-11,40.63050079345703,79.55000305175781,54.906959533691406,165.1591033935547,99.2032699584961,3.631781578063965,20.856000900268555
2019-02-12,40.98061752319336,81.90049743652344,56.175357818603516,164.41195678710938,100.7490463256836,3.7488315105438232,20.78733253479004
2019-02-13,40.81035232543945,82.0,56.22766876220703,163.44566345214844,100.67365264892578,3.7912371158599854,20.544666290283203
2019-02-14,40.95903015136719,81.13249969482422,56.256065368652344,163.32611083984375,100.75847625732422,3.832155466079712,20.251333236694336
2019-02-15,40.86791229248047,80.39749908447266,55.779296875,161.88162231445312,102.00263214111328,3.9018406867980957,20.525333404541016
2019-02-19,40.990211486816406,81.37899780273438,56.12205123901367,161.6724090576172,101.95552825927734,3.8844809532165527,20.375999450683594
2019-02-20,41.253997802734375,81.1050033569336,55.82712173461914,161.94137573242188,101.42542266845703,3.931846857070923,20.17066764831543
2019-02-21,41.021392822265625,80.97200012207031,55.011077880859375,159.4309844970703,103.5646743774414,3.8629062175750732,19.415332794189453
2019-02-22,41.47942352294922,81.5780029296875,55.62635040283203,161.27395629882812,105.04135131835938,3.9477181434631348,19.6473331451416
2019-02-25,41.78157424926758,81.6500015258789,55.66471481323242,163.99356079101562,105.62821960449219,3.935319423675537,19.917999267578125
2019-02-26,41.80554962158203,81.81999969482422,55.897865295410156,163.5054168701172,106.3570785522461,3.895888328552246,19.857332229614258
2019-02-27,41.9350471496582,82.05449676513672,55.941707611083984,162.19044494628906,106.17723083496094,3.853978395462036,20.982667922973633
2019-02-28,41.5225830078125,81.99150085449219,56.12404251098633,160.8356170654297,106.04472351074219,3.829402208328247,21.325332641601562
2019-03-01,41.95903778076172,83.58650207519531,57.21857833862305,161.66246032714844,106.51802062988281,3.8837673664093018,19.652666091918945
2019-03-04,42.17005920410156,84.80850219726562,57.46269607543945,166.7330780029297,106.26241302490234,3.8919599056243896,19.02400016784668
2019-03-05,42.09332275390625,84.62149810791016,58.24834442138672,170.60829162597656,105.73235321044922,3.8855059146881104,18.43600082397461
