Date,AAPL,AMZN,GOOGL,META,MSFT,NVDA,TSLA,VIX,10Y_Treasury_Yield,Inflation_CPI,AAPL_7D_MA,AAPL_30D_MA,AAPL_StdDev
2019-01-02,0.02301619263039384,0.01741267724315243,0.014817655507328498,0.1594775709934737,0.012172246552148214,0.004322532227312742,0.021966043651590543,0.16416022487702034,0.4798206278026905,0.0,,,
2019-01-03,0.0,0.0,0.0,0.1460429152400754,0.0,0.0,0.02033136028580807,0.1955024595924104,0.45739910313901333,0.0,,,
2019-01-04,0.0088816641759219,0.033664564049089796,0.026682842300081555,0.16721795249146437,0.014822661697068806,0.004306787891254327,0.02323392392184085,0.13829936753338015,0.48206278026905813,0.0,,,
2019-01-07,0.008398771679320488,0.05792134323143183,0.025592257199252177,0.16755890072710816,0.015248051354630754,0.008093593584212341,0.02612644380321002,0.1385804638088545,0.4887892376681613,0.0,,,
2019-01-08,0.012525050428114193,0.07005421239448983,0.0303860617654077,0.18283492765021514,0.01766941664222027,0.006218558288218434,0.02619176175159727,0.12550948699929723,0.49551569506726445,0.0,,,
2019-01-09,0.016270821670872543,0.07132709471449494,0.02849893042877316,0.18863162217065,0.022479384188546447,0.007662906715889442,0.02672437305269728,0.1186226282501757,0.49775784753363217,0.0,,,
2019-01-10,0.016987843862795893,0.06989281102573786,0.02706843329256403,0.18852930636280285,0.020287095244164277,0.00905474540954139,0.027802993716939034,0.11187631763879127,0.49775784753363217,0.0,0.0012014585318537718,,0.13673223104060095
2019-01-11,0.014778338365469906,0.0628739715877511,0.019783882599486824,0.18716540896304762,0.01766941664222027,0.010945525041593726,0.02818654439002334,0.09346451159522137,0.491031390134529,0.0,0.0,,0.1066889803707425
2019-01-14,0.011427590856861375,0.05240839224198335,0.013209530929936597,0.1925870499785563,0.015215314811654224,0.011791114046193776,0.026032647785182585,0.10583274771609277,0.491031390134529,0.0,0.0016666690247204852,,0.055186898973202066
2019-01-15,0.015919697254595605,0.0781128596335382,0.030964351147505065,0.20472607109935415,0.02490074947613591,0.01149173433465829,0.02771255200628972,0.09922698524244558,0.49327354260089673,0.0,0.002693138371944348,,0.04893675232852782
2019-01-16,0.018655854312984083,0.08224535018728374,0.0324861673552691,0.1999181682451583,0.02611147184874496,0.010950761371450249,0.027983881930105363,0.1054111033028812,0.49551569506726445,0.0,0.0041890933920053774,,0.03704763971468948
2019-01-17,0.020002029934379162,0.08647639132254259,0.037361153061173824,0.20250964642471936,0.02853283713633442,0.01246339416618926,0.028194915782865572,0.09163738580463807,0.4999999999999999,0.0,0.0052795813432850724,,0.04189450402558761
2019-01-18,0.021406691228467473,0.08781198764896536,0.041510674581866636,0.20844276202228373,0.03373540482549364,0.01519975775334323,0.020649588218637452,0.08798313422347157,0.5089686098654708,0.0,0.006028627648308249,,0.05426654512325226
2019-01-22,0.016256165189346305,0.05911352486706101,0.026966976289203082,0.20002048405300543,0.02709311787814661,0.010913995973489563,0.020090176001586302,0.13014757554462406,0.49775784753363217,0.0,0.0059219152015325405,,0.054524399762377905
2019-01-23,0.017163417758718685,0.06263193792503352,0.029899013769564164,0.1888703590556267,0.030463366166285033,0.01118711829326631,0.0181925388966981,0.11215741391426562,0.5022421524663675,0.0,0.006269769617744891,,0.051793618374644475
2019-01-24,0.015378248958595048,0.06931463849547115,0.02969101137561403,0.19408731622685105,0.028794570564889765,0.015677723075327138,0.018849091855419435,0.1033028812368236,0.49327354260089673,0.0,0.006845957509654499,,0.03167510916544169
2019-01-25,0.022782086310640548,0.07632458718009438,0.038573509871626555,0.20493065048645842,0.03196850553867353,0.016890981208029066,0.01977530237613504,0.0826423049894589,0.5022421524663675,0.0,0.00784680986939959,,0.04130653314360834
2019-01-28,0.020645863220945776,0.06167727618502972,0.02759090578575263,0.19967953581736164,0.025129852305219524,0.005262668040237964,0.01966475878055545,0.10302178496134926,0.4999999999999999,0.0,0.008137044814574085,,0.04301249771191475
2019-01-29,0.018275416933654615,0.04195184043040001,0.022619551463715304,0.1884953055507005,0.018127542842758748,0.001896031110404095,0.01984564699372178,0.10667603654251581,0.49327354260089673,0.0,0.007885225122914452,,0.04265552068214331
2019-01-30,0.03374148790356399,0.07626180478326627,0.036787913223654045,0.20973844888347426,0.029383563479706,0.004937046085438962,0.021739934583099543,0.08601546029515109,0.4887892376681613,0.0,0.009684206535717166,,0.11453845047805093
2019-01-31,0.03548271063467753,0.09791003692876987,0.05094097097925743,0.2652163361732891,0.023002904017409564,0.008277420574015676,0.021446830412532245,0.07069571328179902,0.47309417040358726,0.0,0.012488322306704408,,0.14977839031320558
2019-02-01,0.03559979885790712,0.056451222967578873,0.04725305551826653,0.2618747509838757,0.01760391707039094,0.008792126046468146,0.022316089585835162,0.0646521433591005,0.4887892376681613,0.01349378716131966,0.01517719572638146,,0.1625569475000502
2019-02-04,0.04252076708891983,0.059624469623817844,0.058819037373466165,0.27394556156610883,0.027289404706625053,0.011129341932400227,0.022429982696925192,0.058889669711876313,0.49551569506726445,0.01349378716131966,0.019135824871173157,,0.1730924319545138
2019-02-05,0.046807916500972824,0.07105366985336337,0.06412008811377601,0.28045836228429366,0.032132188253556404,0.011533761309967541,0.023846928387058895,0.056640899508081516,0.491031390134529,0.01349378716131966,0.02263989738068012,,0.19965948815118367
2019-02-06,0.046895715136718585,0.06273951604073136,0.04941915477149328,0.2781737270710941,0.028238393650678706,0.013135684385181562,0.023155207911411888,0.0539704848910752,0.4887892376681613,0.01349378716131966,0.026468334681202632,,0.18745129008771574
